Date,Order Id,Order Status,Customer Code,City,State,Product Name,Order quantity,Gross amount,Day,Month,Week,sku,Variant Name,Skin Tones,Category 2,Week Ending Date,Zone
09-08-2020,ORD-0001,DELIVERED,cust_code-16,Hathras,Uttar Pradesh,Mini Power Matte Lipcolour,1,75,9,8,32,LG-40-19,Mini Power Matte Lipcolour-Dive,Fair Tone&Medium Tone&Dusky Tone,Lips,09-08-2020,North
09-08-2020,ORD-0001,DELIVERED,cust_code-16,Hathras,Uttar Pradesh,Mini Power Matte Lipcolour,1,75,9,8,32,LG-40-8,Mini Power Matte Lipcolour-Coral Dream,Fair Tone&Medium Tone&Dusky Tone,Lips,09-08-2020,North
09-08-2020,ORD-0001,DELIVERED,cust_code-16,Hathras,Uttar Pradesh,Primer Matte Lipstick,1,80,9,8,32,L-24-A9,Primer Matte Lipstick-Pink Curve,Fair Tone&Medium Tone&Dusky Tone,Lips,09-08-2020,North
09-08-2020,ORD-0001,DELIVERED,cust_code-16,Hathras,Uttar Pradesh,Mini Power Matte Lipcolour,1,75,9,8,32,LG-40-3,Mini Power Matte Lipcolour-Divine Wine,Fair Tone&Medium Tone&Dusky Tone,Lips,09-08-2020,North
09-08-2020,ORD-0001,DELIVERED,cust_code-16,Hathras,Uttar Pradesh,Mini Power Matte Lipcolour,1,75,9,8,32,LG-40-7,Mini Power Matte Lipcolour-Satin Rose,Fair Tone&Medium Tone&Dusky Tone,Lips,09-08-2020,North
09-08-2020,ORD-0001,DELIVERED,cust_code-16,Hathras,Uttar Pradesh,Mini Power Matte Lipcolour,1,75,9,8,32,LG-40-14,Mini Power Matte Lipcolour-Sugar Plum,Fair Tone&Medium Tone&Dusky Tone,Lips,09-08-2020,North
09-08-2020,ORD-0002,DELIVERED,cust_code-19,Bagalkot,Karnataka,Colour Rich Lipstick,1,120,9,8,32,L-23-07,Colour Rich Lipstick-Pink Show,Fair Tone&Medium Tone&Dusky Tone,Lips,09-08-2020,South
09-08-2020,ORD-0004,DELIVERED,cust_code-22,New Delhi,Delhi,Primer Matte Lipstick,1,80,9,8,32,L-24-A16,Primer Matte Lipstick-Warm Nude,Fair Tone&Medium Tone&Dusky Tone,Lips,09-08-2020,North
09-08-2020,ORD-0004,DELIVERED,cust_code-22,New Delhi,Delhi,5 Toxic Free Nail Lacquer,1,60,9,8,32,DH-127-337,5 Toxic Free Nail Lacquer-Grey 337,Fair Tone&Medium Tone&Dusky Tone,Nails,09-08-2020,North
09-08-2020,ORD-0004,DELIVERED,cust_code-22,New Delhi,Delhi,Stay All Day Eyeliner,1,145,9,8,32,EL-43,Stay All Day Eyeliner,Fair Tone&Medium Tone&Dusky Tone,Eyes,09-08-2020,North
09-08-2020,ORD-0004,DELIVERED,cust_code-22,New Delhi,Delhi,Always On Matte Lipstick,1,80,9,8,32,L-21-A2,Always On Matte Lipstick-Nude Coffee,Fair Tone&Medium Tone&Dusky Tone,Lips,09-08-2020,North
09-08-2020,ORD-0004,DELIVERED,cust_code-22,New Delhi,Delhi,Colour Rich Lipstick,1,120,9,8,32,L-23-23,Colour Rich Lipstick-Celebrity Soon,Fair Tone&Medium Tone&Dusky Tone,Lips,09-08-2020,North
09-08-2020,ORD-0004,DELIVERED,cust_code-22,New Delhi,Delhi,Primer Matte Lipstick,1,80,9,8,32,L-24-A25,Primer Matte Lipstick-Marry Berry,Fair Tone&Medium Tone&Dusky Tone,Lips,09-08-2020,North
